"conds","fog","hail","rain","snow","thunder","tornado","temp","vis","date","year","month","day","hour","minute","second","tzname"
Light Rain,0,0,1,0,0,0,13.9,4.8,2014/10/01 00:00:00,2014,10,01,00,00,00,America/New_York
Light Rain,0,0,1,0,0,0,13.9,3.2,2014/10/01 00:18:00,2014,10,01,00,18,00,America/New_York
Overcast,0,0,0,0,0,0,13.9,6.4,2014/10/01 00:52:00,2014,10,01,00,52,00,America/New_York
Overcast,0,0,0,0,0,0,14.4,2.8,2014/10/01 01:06:00,2014,10,01,01,06,00,America/New_York
Light Rain,0,0,1,0,0,0,13.9,4.0,2014/10/01 01:08:00,2014,10,01,01,08,00,America/New_York
Light Rain,0,0,1,0,0,0,13.9,6.4,2014/10/01 01:15:00,2014,10,01,01,15,00,America/New_York
Overcast,0,0,0,0,0,0,14.4,3.2,2014/10/01 01:26:00,2014,10,01,01,26,00,America/New_York
Overcast,0,0,0,0,0,0,13.9,12.9,2014/10/01 01:52:00,2014,10,01,01,52,00,America/New_York
Light Rain,0,0,1,0,0,0,13.9,9.7,2014/10/01 02:52:00,2014,10,01,02,52,00,America/New_York
Overcast,0,0,0,0,0,0,13.9,2.0,2014/10/01 03:37:00,2014,10,01,03,37,00,America/New_York
Overcast,0,0,0,0,0,0,13.9,1.2,2014/10/01 03:52:00,2014,10,01,03,52,00,America/New_York
Fog,1,0,0,0,0,0,13.9,0.8,2014/10/01 04:52:00,2014,10,01,04,52,00,America/New_York
Fog,1,0,0,0,0,0,13.9,0.8,2014/10/01 05:52:00,2014,10,01,05,52,00,America/New_York
Light Rain,0,0,1,0,0,0,13.9,1.6,2014/10/01 06:52:00,2014,10,01,06,52,00,America/New_York
Rain,0,0,1,0,0,0,13.9,4.0,2014/10/01 07:12:00,2014,10,01,07,12,00,America/New_York
Light Rain,0,0,1,0,0,0,14.0,4.0,2014/10/01 07:48:00,2014,10,01,07,48,00,America/New_York
Light Rain,0,0,1,0,0,0,13.9,4.8,2014/10/01 08:38:00,2014,10,01,08,38,00,America/New_York
Light Rain,0,0,1,0,0,0,15.0,3.2,2014/10/01 08:39:00,2014,10,01,08,39,00,America/New_York
Rain,0,0,1,0,0,0,15.0,4.0,2014/10/01 08:52:00,2014,10,01,08,52,00,America/New_York
Light Rain,0,0,1,0,0,0,15.0,4.8,2014/10/01 09:02:00,2014,10,01,09,02,00,America/New_York
