"year","month","day","sunrise","sunset"
2014,11,1,Mon Dec 01 2014 06:51:01 GMT-0500 (EST),Mon Dec 01 2014 16:12:05 GMT-0500 (EST),
2014,11,2,Tue Dec 02 2014 06:52:02 GMT-0500 (EST),Tue Dec 02 2014 16:11:50 GMT-0500 (EST),
2014,11,3,Wed Dec 03 2014 06:53:03 GMT-0500 (EST),Wed Dec 03 2014 16:11:37 GMT-0500 (EST),
2014,11,4,Thu Dec 04 2014 06:54:02 GMT-0500 (EST),Thu Dec 04 2014 16:11:27 GMT-0500 (EST),
2014,11,5,Fri Dec 05 2014 06:55:00 GMT-0500 (EST),Fri Dec 05 2014 16:11:18 GMT-0500 (EST),
2014,11,6,Sat Dec 06 2014 06:55:57 GMT-0500 (EST),Sat Dec 06 2014 16:11:13 GMT-0500 (EST),
2014,11,7,Sun Dec 07 2014 06:56:52 GMT-0500 (EST),Sun Dec 07 2014 16:11:09 GMT-0500 (EST),
2014,11,8,Mon Dec 08 2014 06:57:46 GMT-0500 (EST),Mon Dec 08 2014 16:11:08 GMT-0500 (EST),
2014,11,9,Tue Dec 09 2014 06:58:39 GMT-0500 (EST),Tue Dec 09 2014 16:11:10 GMT-0500 (EST),
2014,11,10,Wed Dec 10 2014 06:59:29 GMT-0500 (EST),Wed Dec 10 2014 16:11:14 GMT-0500 (EST),
2014,11,11,Thu Dec 11 2014 07:00:19 GMT-0500 (EST),Thu Dec 11 2014 16:11:20 GMT-0500 (EST),
2014,11,12,Fri Dec 12 2014 07:01:06 GMT-0500 (EST),Fri Dec 12 2014 16:11:28 GMT-0500 (EST),
2014,11,13,Sat Dec 13 2014 07:01:52 GMT-0500 (EST),Sat Dec 13 2014 16:11:39 GMT-0500 (EST),
2014,11,14,Sun Dec 14 2014 07:02:36 GMT-0500 (EST),Sun Dec 14 2014 16:11:53 GMT-0500 (EST),
2014,11,15,Mon Dec 15 2014 07:03:18 GMT-0500 (EST),Mon Dec 15 2014 16:12:08 GMT-0500 (EST),
2014,11,16,Tue Dec 16 2014 07:03:58 GMT-0500 (EST),Tue Dec 16 2014 16:12:26 GMT-0500 (EST),
2014,11,17,Wed Dec 17 2014 07:04:37 GMT-0500 (EST),Wed Dec 17 2014 16:12:47 GMT-0500 (EST),
2014,11,18,Thu Dec 18 2014 07:05:13 GMT-0500 (EST),Thu Dec 18 2014 16:13:09 GMT-0500 (EST),
2014,11,19,Fri Dec 19 2014 07:05:48 GMT-0500 (EST),Fri Dec 19 2014 16:13:34 GMT-0500 (EST),
2014,11,20,Sat Dec 20 2014 07:06:20 GMT-0500 (EST),Sat Dec 20 2014 16:14:01 GMT-0500 (EST),
2014,11,21,Sun Dec 21 2014 07:06:51 GMT-0500 (EST),Sun Dec 21 2014 16:14:30 GMT-0500 (EST),
2014,11,22,Mon Dec 22 2014 07:07:19 GMT-0500 (EST),Mon Dec 22 2014 16:15:02 GMT-0500 (EST),
2014,11,23,Tue Dec 23 2014 07:07:45 GMT-0500 (EST),Tue Dec 23 2014 16:15:36 GMT-0500 (EST),
2014,11,24,Wed Dec 24 2014 07:08:09 GMT-0500 (EST),Wed Dec 24 2014 16:16:11 GMT-0500 (EST),
2014,11,25,Thu Dec 25 2014 07:08:31 GMT-0500 (EST),Thu Dec 25 2014 16:16:49 GMT-0500 (EST),
2014,11,26,Fri Dec 26 2014 07:08:50 GMT-0500 (EST),Fri Dec 26 2014 16:17:29 GMT-0500 (EST),
2014,11,27,Sat Dec 27 2014 07:09:07 GMT-0500 (EST),Sat Dec 27 2014 16:18:10 GMT-0500 (EST),
2014,11,28,Sun Dec 28 2014 07:09:22 GMT-0500 (EST),Sun Dec 28 2014 16:18:54 GMT-0500 (EST),
2014,11,29,Mon Dec 29 2014 07:09:35 GMT-0500 (EST),Mon Dec 29 2014 16:19:39 GMT-0500 (EST),
2014,11,30,Tue Dec 30 2014 07:09:45 GMT-0500 (EST),Tue Dec 30 2014 16:20:27 GMT-0500 (EST),
2014,11,31,Wed Dec 31 2014 07:09:53 GMT-0500 (EST),Wed Dec 31 2014 16:21:16 GMT-0500 (EST),
