"year","month","day","sunrise","sunset"
2015,1,1,Sun Feb 01 2015 06:54:16 GMT-0500 (EST),Sun Feb 01 2015 16:57:33 GMT-0500 (EST),
2015,1,2,Mon Feb 02 2015 06:53:13 GMT-0500 (EST),Mon Feb 02 2015 16:58:50 GMT-0500 (EST),
2015,1,3,Tue Feb 03 2015 06:52:08 GMT-0500 (EST),Tue Feb 03 2015 17:00:08 GMT-0500 (EST),
2015,1,4,Wed Feb 04 2015 06:51:02 GMT-0500 (EST),Wed Feb 04 2015 17:01:25 GMT-0500 (EST),
2015,1,5,Thu Feb 05 2015 06:49:54 GMT-0500 (EST),Thu Feb 05 2015 17:02:42 GMT-0500 (EST),
2015,1,6,Fri Feb 06 2015 06:48:45 GMT-0500 (EST),Fri Feb 06 2015 17:03:59 GMT-0500 (EST),
2015,1,7,Sat Feb 07 2015 06:47:34 GMT-0500 (EST),Sat Feb 07 2015 17:05:16 GMT-0500 (EST),
2015,1,8,Sun Feb 08 2015 06:46:22 GMT-0500 (EST),Sun Feb 08 2015 17:06:33 GMT-0500 (EST),
2015,1,9,Mon Feb 09 2015 06:45:08 GMT-0500 (EST),Mon Feb 09 2015 17:07:50 GMT-0500 (EST),
2015,1,10,Tue Feb 10 2015 06:43:53 GMT-0500 (EST),Tue Feb 10 2015 17:09:06 GMT-0500 (EST),
2015,1,11,Wed Feb 11 2015 06:42:37 GMT-0500 (EST),Wed Feb 11 2015 17:10:23 GMT-0500 (EST),
2015,1,12,Thu Feb 12 2015 06:41:19 GMT-0500 (EST),Thu Feb 12 2015 17:11:39 GMT-0500 (EST),
2015,1,13,Fri Feb 13 2015 06:40:00 GMT-0500 (EST),Fri Feb 13 2015 17:12:56 GMT-0500 (EST),
2015,1,14,Sat Feb 14 2015 06:38:39 GMT-0500 (EST),Sat Feb 14 2015 17:14:11 GMT-0500 (EST),
2015,1,15,Sun Feb 15 2015 06:37:17 GMT-0500 (EST),Sun Feb 15 2015 17:15:27 GMT-0500 (EST),
2015,1,16,Mon Feb 16 2015 06:35:55 GMT-0500 (EST),Mon Feb 16 2015 17:16:43 GMT-0500 (EST),
2015,1,17,Tue Feb 17 2015 06:34:31 GMT-0500 (EST),Tue Feb 17 2015 17:17:58 GMT-0500 (EST),
2015,1,18,Wed Feb 18 2015 06:33:05 GMT-0500 (EST),Wed Feb 18 2015 17:19:13 GMT-0500 (EST),
2015,1,19,Thu Feb 19 2015 06:31:39 GMT-0500 (EST),Thu Feb 19 2015 17:20:28 GMT-0500 (EST),
2015,1,20,Fri Feb 20 2015 06:30:12 GMT-0500 (EST),Fri Feb 20 2015 17:21:42 GMT-0500 (EST),
2015,1,21,Sat Feb 21 2015 06:28:44 GMT-0500 (EST),Sat Feb 21 2015 17:22:56 GMT-0500 (EST),
2015,1,22,Sun Feb 22 2015 06:27:14 GMT-0500 (EST),Sun Feb 22 2015 17:24:10 GMT-0500 (EST),
2015,1,23,Mon Feb 23 2015 06:25:44 GMT-0500 (EST),Mon Feb 23 2015 17:25:24 GMT-0500 (EST),
2015,1,24,Tue Feb 24 2015 06:24:13 GMT-0500 (EST),Tue Feb 24 2015 17:26:37 GMT-0500 (EST),
2015,1,25,Wed Feb 25 2015 06:22:41 GMT-0500 (EST),Wed Feb 25 2015 17:27:50 GMT-0500 (EST),
2015,1,26,Thu Feb 26 2015 06:21:08 GMT-0500 (EST),Thu Feb 26 2015 17:29:03 GMT-0500 (EST),
2015,1,27,Fri Feb 27 2015 06:19:35 GMT-0500 (EST),Fri Feb 27 2015 17:30:15 GMT-0500 (EST),
2015,1,28,Sat Feb 28 2015 06:18:00 GMT-0500 (EST),Sat Feb 28 2015 17:31:27 GMT-0500 (EST),
