"conds","fog","hail","rain","snow","thunder","tornado","temp","vis","date","year","month","day","hour","minute","second","tzname"
Clear,0,0,0,0,0,0,-10.6,16.1,2015/02/01 00:52:00,2015,02,01,00,52,00,America/New_York
Clear,0,0,0,0,0,0,-11.1,16.1,2015/02/01 01:52:00,2015,02,01,01,52,00,America/New_York
Clear,0,0,0,0,0,0,-11.1,16.1,2015/02/01 02:52:00,2015,02,01,02,52,00,America/New_York
Clear,0,0,0,0,0,0,-10.6,16.1,2015/02/01 03:52:00,2015,02,01,03,52,00,America/New_York
Clear,0,0,0,0,0,0,-10.6,16.1,2015/02/01 04:52:00,2015,02,01,04,52,00,America/New_York
Clear,0,0,0,0,0,0,-10.6,16.1,2015/02/01 05:52:00,2015,02,01,05,52,00,America/New_York
Clear,0,0,0,0,0,0,-11.7,16.1,2015/02/01 06:52:00,2015,02,01,06,52,00,America/New_York
Clear,0,0,0,0,0,0,-11.7,16.1,2015/02/01 07:52:00,2015,02,01,07,52,00,America/New_York
Clear,0,0,0,0,0,0,-8.3,16.1,2015/02/01 08:52:00,2015,02,01,08,52,00,America/New_York
Clear,0,0,0,0,0,0,-6.1,16.1,2015/02/01 09:52:00,2015,02,01,09,52,00,America/New_York
Clear,0,0,0,0,0,0,-3.9,16.1,2015/02/01 10:52:00,2015,02,01,10,52,00,America/New_York
Clear,0,0,0,0,0,0,-2.2,16.1,2015/02/01 11:52:00,2015,02,01,11,52,00,America/New_York
Clear,0,0,0,0,0,0,-1.7,16.1,2015/02/01 12:52:00,2015,02,01,12,52,00,America/New_York
Clear,0,0,0,0,0,0,-1.1,16.1,2015/02/01 13:52:00,2015,02,01,13,52,00,America/New_York
Clear,0,0,0,0,0,0,-1.1,16.1,2015/02/01 14:52:00,2015,02,01,14,52,00,America/New_York
Clear,0,0,0,0,0,0,-1.7,16.1,2015/02/01 15:52:00,2015,02,01,15,52,00,America/New_York
Clear,0,0,0,0,0,0,-1.7,16.1,2015/02/01 16:52:00,2015,02,01,16,52,00,America/New_York
Clear,0,0,0,0,0,0,-4.4,16.1,2015/02/01 17:52:00,2015,02,01,17,52,00,America/New_York
Clear,0,0,0,0,0,0,-5.6,16.1,2015/02/01 18:52:00,2015,02,01,18,52,00,America/New_York
Clear,0,0,0,0,0,0,-5.6,16.1,2015/02/01 19:52:00,2015,02,01,19,52,00,America/New_York
Mostly Cloudy,0,0,0,0,0,0,-5.0,16.1,2015/02/01 20:52:00,2015,02,01,20,52,00,America/New_York
Overcast,0,0,0,0,0,0,-5.6,16.1,2015/02/01 21:52:00,2015,02,01,21,52,00,America/New_York
Overcast,0,0,0,0,0,0,-5.0,16.1,2015/02/01 22:52:00,2015,02,01,22,52,00,America/New_York
Overcast,0,0,0,0,0,0,-5.6,16.1,2015/02/01 23:52:00,2015,02,01,23,52,00,America/New_York
Overcast,0,0,0,0,0,0,-5.6,16.1,2015/02/02 00:52:00,2015,02,02,00,52,00,America/New_York
Light Snow,0,0,0,1,0,0,-5.6,9.7,2015/02/02 01:52:00,2015,02,02,01,52,00,America/New_York
Light Snow,0,0,0,1,0,0,-5.6,4.8,2015/02/02 02:12:00,2015,02,02,02,12,00,America/New_York
Light Snow,0,0,0,1,0,0,-5.6,3.2,2015/02/02 02:22:00,2015,02,02,02,22,00,America/New_York
Light Snow,0,0,0,1,0,0,-5.6,2.4,2015/02/02 02:29:00,2015,02,02,02,29,00,America/New_York
Light Snow,0,0,0,1,0,0,-6.1,1.6,2015/02/02 02:45:00,2015,02,02,02,45,00,America/New_York
