"year","month","day","sunrise","sunset"
2015,3,1,Wed Apr 01 2015 06:24:10 GMT-0400 (EDT),Wed Apr 01 2015 19:07:55 GMT-0400 (EDT),
2015,3,2,Thu Apr 02 2015 06:22:28 GMT-0400 (EDT),Thu Apr 02 2015 19:09:01 GMT-0400 (EDT),
2015,3,3,Fri Apr 03 2015 06:20:47 GMT-0400 (EDT),Fri Apr 03 2015 19:10:07 GMT-0400 (EDT),
2015,3,4,Sat Apr 04 2015 06:19:06 GMT-0400 (EDT),Sat Apr 04 2015 19:11:13 GMT-0400 (EDT),
2015,3,5,Sun Apr 05 2015 06:17:25 GMT-0400 (EDT),Sun Apr 05 2015 19:12:19 GMT-0400 (EDT),
2015,3,6,Mon Apr 06 2015 06:15:45 GMT-0400 (EDT),Mon Apr 06 2015 19:13:26 GMT-0400 (EDT),
2015,3,7,Tue Apr 07 2015 06:14:05 GMT-0400 (EDT),Tue Apr 07 2015 19:14:32 GMT-0400 (EDT),
2015,3,8,Wed Apr 08 2015 06:12:26 GMT-0400 (EDT),Wed Apr 08 2015 19:15:38 GMT-0400 (EDT),
2015,3,9,Thu Apr 09 2015 06:10:47 GMT-0400 (EDT),Thu Apr 09 2015 19:16:44 GMT-0400 (EDT),
2015,3,10,Fri Apr 10 2015 06:09:09 GMT-0400 (EDT),Fri Apr 10 2015 19:17:50 GMT-0400 (EDT),
2015,3,11,Sat Apr 11 2015 06:07:31 GMT-0400 (EDT),Sat Apr 11 2015 19:18:56 GMT-0400 (EDT),
2015,3,12,Sun Apr 12 2015 06:05:54 GMT-0400 (EDT),Sun Apr 12 2015 19:20:03 GMT-0400 (EDT),
2015,3,13,Mon Apr 13 2015 06:04:17 GMT-0400 (EDT),Mon Apr 13 2015 19:21:09 GMT-0400 (EDT),
2015,3,14,Tue Apr 14 2015 06:02:41 GMT-0400 (EDT),Tue Apr 14 2015 19:22:15 GMT-0400 (EDT),
2015,3,15,Wed Apr 15 2015 06:01:06 GMT-0400 (EDT),Wed Apr 15 2015 19:23:21 GMT-0400 (EDT),
2015,3,16,Thu Apr 16 2015 05:59:31 GMT-0400 (EDT),Thu Apr 16 2015 19:24:28 GMT-0400 (EDT),
2015,3,17,Fri Apr 17 2015 05:57:58 GMT-0400 (EDT),Fri Apr 17 2015 19:25:34 GMT-0400 (EDT),
2015,3,18,Sat Apr 18 2015 05:56:25 GMT-0400 (EDT),Sat Apr 18 2015 19:26:40 GMT-0400 (EDT),
2015,3,19,Sun Apr 19 2015 05:54:53 GMT-0400 (EDT),Sun Apr 19 2015 19:27:46 GMT-0400 (EDT),
2015,3,20,Mon Apr 20 2015 05:53:21 GMT-0400 (EDT),Mon Apr 20 2015 19:28:53 GMT-0400 (EDT),
2015,3,21,Tue Apr 21 2015 05:51:51 GMT-0400 (EDT),Tue Apr 21 2015 19:29:59 GMT-0400 (EDT),
2015,3,22,Wed Apr 22 2015 05:50:21 GMT-0400 (EDT),Wed Apr 22 2015 19:31:05 GMT-0400 (EDT),
2015,3,23,Thu Apr 23 2015 05:48:53 GMT-0400 (EDT),Thu Apr 23 2015 19:32:11 GMT-0400 (EDT),
2015,3,24,Fri Apr 24 2015 05:47:25 GMT-0400 (EDT),Fri Apr 24 2015 19:33:17 GMT-0400 (EDT),
2015,3,25,Sat Apr 25 2015 05:45:58 GMT-0400 (EDT),Sat Apr 25 2015 19:34:23 GMT-0400 (EDT),
2015,3,26,Sun Apr 26 2015 05:44:33 GMT-0400 (EDT),Sun Apr 26 2015 19:35:30 GMT-0400 (EDT),
2015,3,27,Mon Apr 27 2015 05:43:08 GMT-0400 (EDT),Mon Apr 27 2015 19:36:35 GMT-0400 (EDT),
2015,3,28,Tue Apr 28 2015 05:41:45 GMT-0400 (EDT),Tue Apr 28 2015 19:37:41 GMT-0400 (EDT),
2015,3,29,Wed Apr 29 2015 05:40:23 GMT-0400 (EDT),Wed Apr 29 2015 19:38:47 GMT-0400 (EDT),
2015,3,30,Thu Apr 30 2015 05:39:02 GMT-0400 (EDT),Thu Apr 30 2015 19:39:53 GMT-0400 (EDT),
