"conds","fog","hail","rain","snow","thunder","tornado","temp","vis","precip","date","year","month","day","hour","minute","second","tzname"
Clear,0,0,0,0,0,0,1.7,16.1,-9999.00,2015/04/01 00:52:00,2015,04,01,00,52,00,America/New_York
Clear,0,0,0,0,0,0,2.2,16.1,-9999.00,2015/04/01 01:52:00,2015,04,01,01,52,00,America/New_York
Clear,0,0,0,0,0,0,2.2,16.1,-9999.00,2015/04/01 02:52:00,2015,04,01,02,52,00,America/New_York
Clear,0,0,0,0,0,0,1.7,16.1,-9999.00,2015/04/01 03:52:00,2015,04,01,03,52,00,America/New_York
Clear,0,0,0,0,0,0,1.1,16.1,-9999.00,2015/04/01 04:52:00,2015,04,01,04,52,00,America/New_York
Clear,0,0,0,0,0,0,0.0,16.1,-9999.00,2015/04/01 05:52:00,2015,04,01,05,52,00,America/New_York
Clear,0,0,0,0,0,0,-0.6,16.1,-9999.00,2015/04/01 06:52:00,2015,04,01,06,52,00,America/New_York
Clear,0,0,0,0,0,0,1.1,16.1,-9999.00,2015/04/01 07:52:00,2015,04,01,07,52,00,America/New_York
Clear,0,0,0,0,0,0,2.2,16.1,-9999.00,2015/04/01 08:52:00,2015,04,01,08,52,00,America/New_York
Clear,0,0,0,0,0,0,2.8,16.1,-9999.00,2015/04/01 09:52:00,2015,04,01,09,52,00,America/New_York
Clear,0,0,0,0,0,0,3.9,16.1,-9999.00,2015/04/01 10:52:00,2015,04,01,10,52,00,America/New_York
Clear,0,0,0,0,0,0,5.0,16.1,-9999.00,2015/04/01 11:52:00,2015,04,01,11,52,00,America/New_York
Clear,0,0,0,0,0,0,6.1,16.1,-9999.00,2015/04/01 12:52:00,2015,04,01,12,52,00,America/New_York
Clear,0,0,0,0,0,0,7.2,16.1,-9999.00,2015/04/01 13:52:00,2015,04,01,13,52,00,America/New_York
Clear,0,0,0,0,0,0,7.8,16.1,-9999.00,2015/04/01 14:52:00,2015,04,01,14,52,00,America/New_York
Clear,0,0,0,0,0,0,6.7,16.1,-9999.00,2015/04/01 15:52:00,2015,04,01,15,52,00,America/New_York
Clear,0,0,0,0,0,0,7.8,16.1,-9999.00,2015/04/01 16:52:00,2015,04,01,16,52,00,America/New_York
Clear,0,0,0,0,0,0,7.8,16.1,-9999.00,2015/04/01 17:52:00,2015,04,01,17,52,00,America/New_York
Clear,0,0,0,0,0,0,5.0,16.1,-9999.00,2015/04/01 18:52:00,2015,04,01,18,52,00,America/New_York
Clear,0,0,0,0,0,0,2.8,16.1,-9999.00,2015/04/01 19:52:00,2015,04,01,19,52,00,America/New_York
Clear,0,0,0,0,0,0,-1.1,16.1,-9999.00,2015/04/01 20:52:00,2015,04,01,20,52,00,America/New_York
Clear,0,0,0,0,0,0,-2.8,16.1,-9999.00,2015/04/01 21:52:00,2015,04,01,21,52,00,America/New_York
Clear,0,0,0,0,0,0,-3.3,16.1,-9999.00,2015/04/01 22:52:00,2015,04,01,22,52,00,America/New_York
Clear,0,0,0,0,0,0,-3.9,16.1,-9999.00,2015/04/01 23:52:00,2015,04,01,23,52,00,America/New_York
Clear,0,0,0,0,0,0,-4.4,16.1,-9999.00,2015/04/02 00:52:00,2015,04,02,00,52,00,America/New_York
Clear,0,0,0,0,0,0,-5.0,16.1,-9999.00,2015/04/02 01:52:00,2015,04,02,01,52,00,America/New_York
Clear,0,0,0,0,0,0,-5.0,16.1,-9999.00,2015/04/02 02:52:00,2015,04,02,02,52,00,America/New_York
Clear,0,0,0,0,0,0,-5.6,16.1,-9999.00,2015/04/02 03:52:00,2015,04,02,03,52,00,America/New_York
Clear,0,0,0,0,0,0,-6.1,16.1,-9999.00,2015/04/02 04:52:00,2015,04,02,04,52,00,America/New_York
Clear,0,0,0,0,0,0,-6.7,16.1,-9999.00,2015/04/02 05:52:00,2015,04,02,05,52,00,America/New_York
Clear,0,0,0,0,0,0,-5.6,16.1,-9999.00,2015/04/02 06:52:00,2015,04,02,06,52,00,America/New_York
Overcast,0,0,0,0,0,0,-3.3,16.1,-9999.00,2015/04/02 07:52:00,2015,04,02,07,52,00,America/New_York
Scattered Clouds,0,0,0,0,0,0,1.1,16.1,-9999.00,2015/04/02 08:52:00,2015,04,02,08,52,00,America/New_York
Mostly Cloudy,0,0,0,0,0,0,3.9,16.1,-9999.00,2015/04/02 09:52:00,2015,04,02,09,52,00,America/New_York
Mostly Cloudy,0,0,0,0,0,0,7.2,16.1,-9999.00,2015/04/02 10:52:00,2015,04,02,10,52,00,America/New_York
Scattered Clouds,0,0,0,0,0,0,10.0,16.1,-9999.00,2015/04/02 11:52:00,2015,04,02,11,52,00,America/New_York
Partly Cloudy,0,0,0,0,0,0,10.6,16.1,-9999.00,2015/04/02 12:52:00,2015,04,02,12,52,00,America/New_York
Clear,0,0,0,0,0,0,12.2,16.1,-9999.00,2015/04/02 13:52:00,2015,04,02,13,52,00,America/New_York
Clear,0,0,0,0,0,0,12.2,16.1,-9999.00,2015/04/02 14:52:00,2015,04,02,14,52,00,America/New_York
Clear,0,0,0,0,0,0,12.2,16.1,-9999.00,2015/04/02 15:52:00,2015,04,02,15,52,00,America/New_York
Clear,0,0,0,0,0,0,11.7,16.1,-9999.00,2015/04/02 16:52:00,2015,04,02,16,52,00,America/New_York
Clear,0,0,0,0,0,0,11.1,16.1,-9999.00,2015/04/02 17:52:00,2015,04,02,17,52,00,America/New_York
Clear,0,0,0,0,0,0,9.4,16.1,-9999.00,2015/04/02 18:52:00,2015,04,02,18,52,00,America/New_York
Clear,0,0,0,0,0,0,9.4,16.1,-9999.00,2015/04/02 19:52:00,2015,04,02,19,52,00,America/New_York
Clear,0,0,0,0,0,0,10.0,16.1,-9999.00,2015/04/02 20:52:00,2015,04,02,20,52,00,America/New_York
Clear,0,0,0,0,0,0,9.4,16.1,-9999.00,2015/04/02 21:52:00,2015,04,02,21,52,00,America/New_York
Light Rain,0,0,1,0,0,0,9.4,16.1,0.0,2015/04/02 22:52:00,2015,04,02,22,52,00,America/New_York
Light Rain,0,0,1,0,0,0,10.0,16.1,0.0,2015/04/02 23:52:00,2015,04,02,23,52,00,America/New_York
Light Rain,0,0,1,0,0,0,9.4,16.1,0.3,2015/04/03 00:52:00,2015,04,03,00,52,00,America/New_York
Overcast,0,0,0,0,0,0,10.6,16.1,0.0,2015/04/03 01:52:00,2015,04,03,01,52,00,America/New_York
Overcast,0,0,0,0,0,0,10.0,16.1,-9999.00,2015/04/03 02:52:00,2015,04,03,02,52,00,America/New_York
Overcast,0,0,0,0,0,0,10.0,16.1,0.0,2015/04/03 03:52:00,2015,04,03,03,52,00,America/New_York
Overcast,0,0,0,0,0,0,9.4,16.1,0.0,2015/04/03 04:52:00,2015,04,03,04,52,00,America/New_York
Light Rain,0,0,1,0,0,0,8.9,16.1,0.0,2015/04/03 05:52:00,2015,04,03,05,52,00,America/New_York
Light Rain,0,0,1,0,0,0,8.3,16.1,0.3,2015/04/03 06:52:00,2015,04,03,06,52,00,America/New_York
Mostly Cloudy,0,0,0,0,0,0,8.9,16.1,0.0,2015/04/03 07:52:00,2015,04,03,07,52,00,America/New_York
Clear,0,0,0,0,0,0,8.9,14.5,-9999.00,2015/04/03 08:52:00,2015,04,03,08,52,00,America/New_York
Scattered Clouds,0,0,0,0,0,0,8.9,14.5,-9999.00,2015/04/03 09:52:00,2015,04,03,09,52,00,America/New_York
Overcast,0,0,0,0,0,0,10.6,16.1,-9999.00,2015/04/03 10:52:00,2015,04,03,10,52,00,America/New_York
Light Rain,0,0,1,0,0,0,11.1,16.1,0.0,2015/04/03 11:52:00,2015,04,03,11,52,00,America/New_York
Light Rain,0,0,1,0,0,0,11.7,12.9,0.5,2015/04/03 12:52:00,2015,04,03,12,52,00,America/New_York
Light Rain,0,0,1,0,0,0,11.1,14.5,0.0,2015/04/03 13:52:00,2015,04,03,13,52,00,America/New_York
Overcast,0,0,0,0,0,0,11.1,12.9,0.0,2015/04/03 14:52:00,2015,04,03,14,52,00,America/New_York
Overcast,0,0,0,0,0,0,9.4,9.7,-9999.00,2015/04/03 15:52:00,2015,04,03,15,52,00,America/New_York
Light Rain,0,0,1,0,0,0,8.9,3.2,0.3,2015/04/03 16:34:00,2015,04,03,16,34,00,America/New_York
Rain,0,0,1,0,0,0,9.0,2.4,1.3,2015/04/03 16:47:00,2015,04,03,16,47,00,America/New_York
Rain,0,0,1,0,0,0,8.9,2.8,1.5,2015/04/03 16:52:00,2015,04,03,16,52,00,America/New_York
Light Rain,0,0,1,0,0,0,8.9,3.2,0.3,2015/04/03 17:00:00,2015,04,03,17,00,00,America/New_York
Light Rain,0,0,1,0,0,0,8.9,4.8,1.0,2015/04/03 17:29:00,2015,04,03,17,29,00,America/New_York
Rain,0,0,1,0,0,0,8.9,3.2,1.5,2015/04/03 17:41:00,2015,04,03,17,41,00,America/New_York
Light Rain,0,0,1,0,0,0,8.9,4.8,1.8,2015/04/03 17:52:00,2015,04,03,17,52,00,America/New_York
Light Rain,0,0,1,0,0,0,8.9,4.0,0.0,2015/04/03 17:57:00,2015,04,03,17,57,00,America/New_York
Light Rain,0,0,1,0,0,0,8.9,4.8,0.3,2015/04/03 18:07:00,2015,04,03,18,07,00,America/New_York
Light Rain,0,0,1,0,0,0,8.3,4.0,0.5,2015/04/03 18:14:00,2015,04,03,18,14,00,America/New_York
Light Rain,0,0,1,0,0,0,8.3,4.0,1.3,2015/04/03 18:45:00,2015,04,03,18,45,00,America/New_York
Light Rain,0,0,1,0,0,0,8.3,4.0,1.3,2015/04/03 18:52:00,2015,04,03,18,52,00,America/New_York
Light Rain,0,0,1,0,0,0,7.8,6.4,0.3,2015/04/03 19:14:00,2015,04,03,19,14,00,America/New_York
Overcast,0,0,0,0,0,0,7.8,6.4,0.5,2015/04/03 19:52:00,2015,04,03,19,52,00,America/New_York
Light Rain,0,0,1,0,0,0,7.8,2.8,0.0,2015/04/03 20:10:00,2015,04,03,20,10,00,America/New_York
Overcast,0,0,0,0,0,0,7.2,2.8,0.0,2015/04/03 20:52:00,2015,04,03,20,52,00,America/New_York
Overcast,0,0,0,0,0,0,6.7,1.2,-9999.00,2015/04/03 21:14:00,2015,04,03,21,14,00,America/New_York
Fog,1,0,0,0,0,0,6.7,0.4,-9999.00,2015/04/03 21:52:00,2015,04,03,21,52,00,America/New_York
Fog,1,0,0,0,0,0,6.7,0.8,-9999.00,2015/04/03 22:07:00,2015,04,03,22,07,00,America/New_York
Overcast,0,0,0,0,0,0,6.1,2.0,-9999.00,2015/04/03 22:52:00,2015,04,03,22,52,00,America/New_York
Overcast,0,0,0,0,0,0,6.1,4.0,-9999.00,2015/04/03 23:04:00,2015,04,03,23,04,00,America/New_York
Overcast,0,0,0,0,0,0,6.1,2.0,-9999.00,2015/04/03 23:15:00,2015,04,03,23,15,00,America/New_York
