"year","month","day","sunrise","sunset"
2015,0,1,Thu Jan 01 2015 07:09:59 GMT-0500 (EST),Thu Jan 01 2015 16:22:07 GMT-0500 (EST),
2015,0,2,Fri Jan 02 2015 07:10:02 GMT-0500 (EST),Fri Jan 02 2015 16:22:59 GMT-0500 (EST),
2015,0,3,Sat Jan 03 2015 07:10:03 GMT-0500 (EST),Sat Jan 03 2015 16:23:53 GMT-0500 (EST),
2015,0,4,Sun Jan 04 2015 07:10:02 GMT-0500 (EST),Sun Jan 04 2015 16:24:49 GMT-0500 (EST),
2015,0,5,Mon Jan 05 2015 07:09:58 GMT-0500 (EST),Mon Jan 05 2015 16:25:46 GMT-0500 (EST),
2015,0,6,Tue Jan 06 2015 07:09:52 GMT-0500 (EST),Tue Jan 06 2015 16:26:45 GMT-0500 (EST),
2015,0,7,Wed Jan 07 2015 07:09:44 GMT-0500 (EST),Wed Jan 07 2015 16:27:45 GMT-0500 (EST),
2015,0,8,Thu Jan 08 2015 07:09:33 GMT-0500 (EST),Thu Jan 08 2015 16:28:46 GMT-0500 (EST),
2015,0,9,Fri Jan 09 2015 07:09:20 GMT-0500 (EST),Fri Jan 09 2015 16:29:49 GMT-0500 (EST),
2015,0,10,Sat Jan 10 2015 07:09:05 GMT-0500 (EST),Sat Jan 10 2015 16:30:53 GMT-0500 (EST),
2015,0,11,Sun Jan 11 2015 07:08:47 GMT-0500 (EST),Sun Jan 11 2015 16:31:58 GMT-0500 (EST),
2015,0,12,Mon Jan 12 2015 07:08:27 GMT-0500 (EST),Mon Jan 12 2015 16:33:04 GMT-0500 (EST),
2015,0,13,Tue Jan 13 2015 07:08:04 GMT-0500 (EST),Tue Jan 13 2015 16:34:11 GMT-0500 (EST),
2015,0,14,Wed Jan 14 2015 07:07:40 GMT-0500 (EST),Wed Jan 14 2015 16:35:19 GMT-0500 (EST),
2015,0,15,Thu Jan 15 2015 07:07:13 GMT-0500 (EST),Thu Jan 15 2015 16:36:28 GMT-0500 (EST),
2015,0,16,Fri Jan 16 2015 07:06:44 GMT-0500 (EST),Fri Jan 16 2015 16:37:38 GMT-0500 (EST),
2015,0,17,Sat Jan 17 2015 07:06:12 GMT-0500 (EST),Sat Jan 17 2015 16:38:49 GMT-0500 (EST),
2015,0,18,Sun Jan 18 2015 07:05:39 GMT-0500 (EST),Sun Jan 18 2015 16:40:01 GMT-0500 (EST),
2015,0,19,Mon Jan 19 2015 07:05:03 GMT-0500 (EST),Mon Jan 19 2015 16:41:13 GMT-0500 (EST),
2015,0,20,Tue Jan 20 2015 07:04:25 GMT-0500 (EST),Tue Jan 20 2015 16:42:26 GMT-0500 (EST),
2015,0,21,Wed Jan 21 2015 07:03:45 GMT-0500 (EST),Wed Jan 21 2015 16:43:39 GMT-0500 (EST),
2015,0,22,Thu Jan 22 2015 07:03:03 GMT-0500 (EST),Thu Jan 22 2015 16:44:53 GMT-0500 (EST),
2015,0,23,Fri Jan 23 2015 07:02:19 GMT-0500 (EST),Fri Jan 23 2015 16:46:08 GMT-0500 (EST),
2015,0,24,Sat Jan 24 2015 07:01:33 GMT-0500 (EST),Sat Jan 24 2015 16:47:23 GMT-0500 (EST),
2015,0,25,Sun Jan 25 2015 07:00:45 GMT-0500 (EST),Sun Jan 25 2015 16:48:38 GMT-0500 (EST),
2015,0,26,Mon Jan 26 2015 06:59:55 GMT-0500 (EST),Mon Jan 26 2015 16:49:54 GMT-0500 (EST),
2015,0,27,Tue Jan 27 2015 06:59:03 GMT-0500 (EST),Tue Jan 27 2015 16:51:10 GMT-0500 (EST),
2015,0,28,Wed Jan 28 2015 06:58:09 GMT-0500 (EST),Wed Jan 28 2015 16:52:26 GMT-0500 (EST),
2015,0,29,Thu Jan 29 2015 06:57:13 GMT-0500 (EST),Thu Jan 29 2015 16:53:43 GMT-0500 (EST),
2015,0,30,Fri Jan 30 2015 06:56:16 GMT-0500 (EST),Fri Jan 30 2015 16:54:59 GMT-0500 (EST),
2015,0,31,Sat Jan 31 2015 06:55:17 GMT-0500 (EST),Sat Jan 31 2015 16:56:16 GMT-0500 (EST),
