"did","charge","battery_overload","overload","charging","battery_full_voltage","overdischarge_voltage","load_on","charge_current","battery_temperature","battery_full","over_discharge","pv_voltage","load_current","battery_voltage","load_short","date"
tidbase4,"81.71182997287734","0","0","0","14.70097039473684","10.921677631578948","1","0","8.108552631578947","0","0","0.15328947368421056","1.0499342105263159","12.324769736842105","0","Wed Apr 01 2015 00:00:00 GMT-0400 (EDT)"
tidbase4,"81.39525054823721","0","0","0","14.703328125000002","10.921609375000003","1","0","8","0","0","0.15484375","1.0376093750000002","12.316234374999999","0","Wed Apr 01 2015 00:20:00 GMT-0400 (EDT)"
tidbase4,"81.08073649676956","0","0","0","14.703667763157895","10.921875","1","0","8","0","0","0.15345394736842105","1.0365131578947366","12.308552631578946","0","Wed Apr 01 2015 00:40:00 GMT-0400 (EDT)"
tidbase4,"80.76308545544468","0","0","0","14.704234374999999","10.921531250000001","1","0","8","0","0","0.153125","1.05415625","12.302031250000002","0","Wed Apr 01 2015 01:00:00 GMT-0400 (EDT)"
tidbase4,"80.44399559018483","0","0","0","14.717713815789475","10.913388157894735","1","0","7.213815789473684","0","0","0.15419407894736842","1.0510690789473685","12.296447368421052","0","Wed Apr 01 2015 01:20:00 GMT-0400 (EDT)"
tidbase4,"80.1251278341696","0","0","0","14.720953125","10.9109375","1","0","7","0","0","0.15234374999999997","1.0506406249999998","12.288437500000002","0","Wed Apr 01 2015 01:40:00 GMT-0400 (EDT)"
tidbase4,"79.8057002764373","0","0","0","14.721496710526315","10.911513157894737","1","0","7","0","0","0.15279605263157894","1.0488815789473682","12.278421052631577","0","Wed Apr 01 2015 02:00:00 GMT-0400 (EDT)"
tidbase4,"79.48802546045269","0","0","0","14.721374999999998","10.912015625000002","1","0","7","0","0","0.1515625","1.0475","12.267374999999998","0","Wed Apr 01 2015 02:20:00 GMT-0400 (EDT)"
tidbase4,"79.16936195323257","0","0","0","14.72143092105263","10.911809210526318","1","0","7","0","0","0.15032894736842106","1.0586019736842103","12.256792763157895","0","Wed Apr 01 2015 02:40:00 GMT-0400 (EDT)"
tidbase4,"78.85085101496324","0","0","0","14.729828124999997","10.907437500000002","1","0","6.5515625","0","0","0.15132812499999998","1.0473437499999998","12.246578125000001","0","Wed Apr 01 2015 03:00:00 GMT-0400 (EDT)"
tidbase4,"78.53144255232948","0","0","0","14.740032894736842","10.901644736842107","1","0","6","0","0","0.14983552631578947","1.0549013157894735","12.237023026315788","0","Wed Apr 01 2015 03:20:00 GMT-0400 (EDT)"
tidbase4,"78.21055596208812","0","0","0","14.74021875","10.901625000000001","1","0","6","0","0","0.15140625000000002","1.0616875000000001","12.227125","0","Wed Apr 01 2015 03:40:00 GMT-0400 (EDT)"
tidbase4,"77.89163810556472","0","0","0","14.740148026315786","10.902648026315788","1","0","6","0","0","0.15246710526315788","1.0417927631578945","12.212960526315788","0","Wed Apr 01 2015 04:00:00 GMT-0400 (EDT)"
tidbase4,"77.57624952869159","0","0","0","14.740062499999999","10.902640625","1","0","6","0","0","0.15257812500000004","1.0448437499999998","12.202625","0","Wed Apr 01 2015 04:20:00 GMT-0400 (EDT)"
tidbase4,"77.2589161798695","0","0","0","14.739967105263156","10.902582236842106","1","0","6","0","0","0.1524671052631579","1.03764802631579","12.194128289473682","0","Wed Apr 01 2015 04:40:00 GMT-0400 (EDT)"
tidbase4,"76.94206126485057","0","0","0","14.740203124999999","10.901546875000003","1","0","6","0","0","0.15445312500000002","1.05375","12.190796875000002","0","Wed Apr 01 2015 05:00:00 GMT-0400 (EDT)"
tidbase4,"76.62094692786343","0","0","0","14.75799342105263","10.892302631578948","1","0","5.059210526315789","0","0","0.15098684210526314","1.0586348684210527","12.186743421052629","0","Wed Apr 01 2015 05:20:00 GMT-0400 (EDT)"
tidbase4,"76.30256876849097","0","0","0","14.75834375","10.892375000000001","1","0","5","0","0","0.321875","1.049015625","12.179156250000002","0","Wed Apr 01 2015 05:40:00 GMT-0400 (EDT)"
tidbase4,"75.9824100675212","0","0","0.20888157894736842","14.758207236842102","10.892730263157896","1","0.0001973684210526316","5","0","0","8.454605263157895","1.0515625000000002","12.180345394736843","0","Wed Apr 01 2015 06:00:00 GMT-0400 (EDT)"
tidbase4,"75.66426580053357","0","0","1","14.749468749999997","10.8970625","1","0.009078125000000001","5.4921875","0","0","15.639921875000002","1.054140625","12.17509375","0","Wed Apr 01 2015 06:20:00 GMT-0400 (EDT)"
tidbase4,"75.355183731428","0","0","1","14.740476973684212","10.900970394736845","1","0.1454934210526316","6","0","0","16.19766447368421","1.0843914473684209","12.177088815789475","0","Wed Apr 01 2015 06:40:00 GMT-0400 (EDT)"
tidbase4,"75.22771609756121","0","0","1","14.732203125000002","10.9058125","1","1.22371875","6.4234375","0","0","18.7171875","1.0497812499999999","12.287140625000001","0","Wed Apr 01 2015 07:00:00 GMT-0400 (EDT)"
tidbase4,"75.40864518195974","0","0","1","14.696282894736843","10.925378289473684","1","1.9493256578947369","8.429276315789474","0","0","19.14371710526316","1.0376973684210526","12.447894736842105","0","Wed Apr 01 2015 07:20:00 GMT-0400 (EDT)"
tidbase4,"75.86305448701836","0","0","1","14.669109375000001","10.938484374999998","1","3.043515625000001","9.8875","0","0","19.447734375","1.0142031250000003","12.685125","0","Wed Apr 01 2015 07:40:00 GMT-0400 (EDT)"
tidbase4,"76.56133476126558","0","0","1","14.640082236842108","10.953075657894738","1","3.449753289473685","11.537828947368421","0","0","19.42233552631579","1.0064638157894734","12.824309210526316","0","Wed Apr 01 2015 08:00:00 GMT-0400 (EDT)"
tidbase4,"77.31564715152814","0","0","1","14.629609375000001","10.958640625","1","3.704875","12.1140625","0","0","19.123515625","1.02909375","12.909640625","0","Wed Apr 01 2015 08:20:00 GMT-0400 (EDT)"
tidbase4,"78.2090393076553","0","0","1","14.608157894736843","10.97029605263158","1","4.093009868421053","13.205592105263158","0","0","19.13911184210526","1.0105756578947365","12.9975","0","Wed Apr 01 2015 08:40:00 GMT-0400 (EDT)"
tidbase4,"79.38205925279257","0","0","1","14.58909375","10.98059375","1","5.579203125","14.3125","0","0","18.880390624999997","0.9915625000000002","13.182906249999998","0","Wed Apr 01 2015 09:00:00 GMT-0400 (EDT)"
tidbase4,"80.77954491976232","0","0","1","14.564671052631576","10.99296052631579","1","5.481299342105264","15.730263157894736","0","0","18.92077302631579","0.9938157894736842","13.24421052631579","0","Wed Apr 01 2015 09:20:00 GMT-0400 (EDT)"
tidbase4,"82.19690894921924","0","0","1","14.555593750000003","10.997499999999999","1","6.007296875","16.196875","0","0","18.746718750000003","0.984359375","13.366015624999998","0","Wed Apr 01 2015 09:40:00 GMT-0400 (EDT)"
tidbase4,"83.84352701093292","0","0","1","14.540740131578948","11.004621710526317","1","6.653421052631579","17","0","0","18.39782894736842","0.9764802631578945","13.546842105263158","0","Wed Apr 01 2015 10:00:00 GMT-0400 (EDT)"
tidbase4,"85.5989175776282","0","0","1","14.528687499999998","11.009203125","1","6.820828125000001","17.603125","0","0","18.350390625000003","0.9498125","13.689249999999998","0","Wed Apr 01 2015 10:20:00 GMT-0400 (EDT)"
tidbase4,"87.38672824804875","0","0","1","14.519095394736842","11.012746710526315","1","6.932828947368421","18.12171052631579","0","0","17.780476973684216","0.9573190789473686","13.81215460526316","0","Wed Apr 01 2015 10:40:00 GMT-0400 (EDT)"
tidbase4,"89.16897301839441","0","0","1","14.503343749999999","11.021374999999997","1","6.936036184210526","18.9859375","0","0","18.333203125","0.9580312499999998","13.892374999999998","0","Wed Apr 01 2015 11:00:00 GMT-0400 (EDT)"
tidbase4,"91.01492043369488","0","0","1","14.503141447368424","11.021776315789472","1","7.182796874999999","18.929276315789473","0","0","18.689605263157897","0.9376809210526316","14.043404605263158","0","Wed Apr 01 2015 11:20:00 GMT-0400 (EDT)"
tidbase4,"92.89974298740445","0","0","1","14.514226973684208","11.016069078947366","1","7.128503289473684","18.361842105263158","0","0","18.79050986842105","0.933174342105263","14.101151315789474","0","Wed Apr 01 2015 11:40:00 GMT-0400 (EDT)"
tidbase4,"94.79334493798315","0","0","1","14.521078124999997","11.012984374999998","1","7.103296875","18","0","0","17.8334375","0.928359375","14.180687500000001","0","Wed Apr 01 2015 12:00:00 GMT-0400 (EDT)"
tidbase4,"96.6279614601806","0","0","1","14.521200657894736","11.013059210526317","1","6.932845394736842","18","0","0","18.267072368421047","0.9277960526315789","14.287763157894739","0","Wed Apr 01 2015 12:20:00 GMT-0400 (EDT)"
tidbase4,"98.40482647206433","0","0","1","14.52146875","11.012890625","1","6.518671874999998","18","0.3515625","0","17.4225","0.9325000000000001","14.261828125","0","Wed Apr 01 2015 12:40:00 GMT-0400 (EDT)"
tidbase4,"99.97765923371223","0","0","1","14.53550986842105","11.007565789473684","1","5.870328947368421","17.22532894736842","1","0","14.93327302631579","0.9163815789473687","14.130888157894736","0","Wed Apr 01 2015 13:00:00 GMT-0400 (EDT)"
tidbase4,"101.46211038854744","0","0","1","14.539750000000002","11.006499999999999","1","5.742343749999999","17","1","0","15.162265624999998","0.91671875","14.35584375","0","Wed Apr 01 2015 13:20:00 GMT-0400 (EDT)"
tidbase4,"102.89286347377042","0","0","1","14.53924342105263","11.006332236842105","1","5.493174342105264","17","1","0","19.71345394736842","0.8979605263157892","14.536266447368419","0","Wed Apr 01 2015 13:40:00 GMT-0400 (EDT)"
tidbase4,"104.22959185943598","0","0","1","14.536562500000002","11.0065","1","5.1550625000000005","17.1296875","1","0","20.361796875","0.9065937500000001","14.532250000000005","0","Wed Apr 01 2015 14:00:00 GMT-0400 (EDT)"
tidbase4,"105.45048044051077","0","0","1","14.521315789473682","11.013190789473684","1","4.662368421052632","17.995065789473685","0.7763157894736842","0","19.80629934210526","0.9086019736842105","14.3884375","0","Wed Apr 01 2015 14:20:00 GMT-0400 (EDT)"
tidbase4,"106.47591047313078","0","0","1","14.52903125","11.009671874999999","1","3.726015625000001","17.6","0.2421875","0","20.235781249999995","0.936984375","13.971124999999997","0","Wed Apr 01 2015 14:40:00 GMT-0400 (EDT)"
tidbase4,"107.00926749384816","0","0","1","14.548388157894736","11.000888157894735","1","2.1447532894736847","16.588815789473685","0","0","20.684835526315787","0.9811019736842105","13.400855263157895","0","Wed Apr 01 2015 15:00:00 GMT-0400 (EDT)"
tidbase4,"107.34380737485556","0","0","1","14.559671875000001","10.996484375","1","2.113890625","15.9828125","0","0","20.58234375","0.977078125","13.38253125","0","Wed Apr 01 2015 15:20:00 GMT-0400 (EDT)"
tidbase4,"107.67822633202523","0","0","1","14.567648026315785","10.991578947368422","1","1.709654605263158","15.488486842105264","0","0","20.403174342105267","0.9778125","13.346348684210525","0","Wed Apr 01 2015 15:40:00 GMT-0400 (EDT)"
tidbase4,"107.76171685498426","0","0","1","14.576546875","10.985953124999998","1","1.18128125","15.0125","0","0","20.4946875","1.00415625","13.137078124999999","0","Wed Apr 01 2015 16:00:00 GMT-0400 (EDT)"
tidbase4,"107.86769144884839","0","0","1","14.560345394736842","10.995213815789471","1","1.445279605263158","15.935855263157896","0","0","20.518141447368418","1.0043421052631578","13.183848684210524","0","Wed Apr 01 2015 16:20:00 GMT-0400 (EDT)"
tidbase4,"107.86031341691856","0","0","1","14.569868421052634","10.989736842105264","1","0.5078289473684211","15.442434210526315","0","0","19.043881578947367","0.9955263157894736","13.011611842105266","0","Wed Apr 01 2015 16:40:00 GMT-0400 (EDT)"
tidbase4,"107.66906880534175","0","0","1","14.590531250000002","10.979","1","0.29378125","14.2671875","0","0","17.231875","1.0090000000000003","12.9316875","0","Wed Apr 01 2015 17:00:00 GMT-0400 (EDT)"
tidbase4,"107.43784533301896","0","0","1","14.614424342105263","10.966726973684212","1","0.20715460526315788","12.916118421052632","0","0","15.316249999999995","0.9963322368421053","12.89481907894737","0","Wed Apr 01 2015 17:20:00 GMT-0400 (EDT)"
tidbase4,"107.19336187295569","0","0","1","14.631671875","10.957671874999999","1","0.191375","12","0","0","14.98984375","1.00584375","12.87328125","0","Wed Apr 01 2015 17:40:00 GMT-0400 (EDT)"
tidbase4,"106.9345801551163","0","0","1","14.646875","10.94980263157895","1","0.14044407894736843","11.175986842105264","0","0","15.273322368421054","1.0178453947368422","12.854621710526311","0","Wed Apr 01 2015 18:00:00 GMT-0400 (EDT)"
tidbase4,"106.66324462192055","0","0","1","14.650125000000006","10.948265625000001","1","0.09909375000000001","11","0","0","16.458828125","1.022234375","12.831718749999999","0","Wed Apr 01 2015 18:20:00 GMT-0400 (EDT)"
tidbase4,"106.37703136543178","0","0","1","14.659194078947367","10.943421052631582","1","0.044457236842105265","10.458881578947368","0","0","16.43902960526316","1.0061842105263157","12.813947368421053","0","Wed Apr 01 2015 18:40:00 GMT-0400 (EDT)"
tidbase4,"106.07862001068511","0","0","0.88125","14.66690625","10.939515625000002","1","0.003484375","10","0","0","15.913265625","1.0016718750000002","12.79609375","0","Wed Apr 01 2015 19:00:00 GMT-0400 (EDT)"
tidbase4,"105.77435556857522","0","0","0","14.694177631578947","10.926496710526317","1","0","8.478618421052632","0","0","3.712582236842106","1.0034539473684212","12.77269736842105","0","Wed Apr 01 2015 19:20:00 GMT-0400 (EDT)"
tidbase4,"105.46706641035175","0","0","0","14.713359375","10.916250000000002","1","0","7.4171875","0","0","0.16726562500000003","1.016953125","12.749124999999998","0","Wed Apr 01 2015 19:40:00 GMT-0400 (EDT)"
tidbase4,"105.15900081319542","0","0","0","14.733503289473683","10.907319078947367","1","0","6.342105263157895","0","0","0.15929276315789476","1.0076315789473687","12.739144736842105","0","Wed Apr 01 2015 20:00:00 GMT-0400 (EDT)"
tidbase4,"104.85475670735988","0","0","0","14.744093750000001","10.902609374999999","1","0","5.7546875","0","0","0.15742187500000002","1.0028124999999999","12.72759375","0","Wed Apr 01 2015 20:20:00 GMT-0400 (EDT)"
tidbase4,"104.54736796942163","0","0","0","14.757648026315788","10.894901315789474","1","0","5","0","0","0.1578125","1.0167434210526316","12.714934210526316","0","Wed Apr 01 2015 20:40:00 GMT-0400 (EDT)"
