"did","charge","overdischarge_voltage","charging","battery_full_voltage","battery_overload","load_on","overload","battery_full","pv_voltage","over_discharge","battery_temperature","battery_voltage","load_short","load_current","charge_current","date"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Thu Oct 02 2014 10:00:00 GMT-0400 (EDT)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Thu Oct 02 2014 10:20:00 GMT-0400 (EDT)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Thu Oct 02 2014 10:40:00 GMT-0400 (EDT)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Thu Oct 02 2014 11:00:00 GMT-0400 (EDT)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Thu Oct 02 2014 11:20:00 GMT-0400 (EDT)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Thu Oct 02 2014 11:40:00 GMT-0400 (EDT)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Thu Oct 02 2014 12:00:00 GMT-0400 (EDT)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Thu Oct 02 2014 12:20:00 GMT-0400 (EDT)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Thu Oct 02 2014 12:40:00 GMT-0400 (EDT)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Thu Oct 02 2014 13:00:00 GMT-0400 (EDT)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Thu Oct 02 2014 13:20:00 GMT-0400 (EDT)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Thu Oct 02 2014 13:40:00 GMT-0400 (EDT)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Thu Oct 02 2014 14:00:00 GMT-0400 (EDT)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Thu Oct 02 2014 14:20:00 GMT-0400 (EDT)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Thu Oct 02 2014 14:40:00 GMT-0400 (EDT)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Thu Oct 02 2014 15:00:00 GMT-0400 (EDT)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Thu Oct 02 2014 15:20:00 GMT-0400 (EDT)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Thu Oct 02 2014 15:40:00 GMT-0400 (EDT)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Thu Oct 02 2014 16:00:00 GMT-0400 (EDT)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Thu Oct 02 2014 16:20:00 GMT-0400 (EDT)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Thu Oct 02 2014 16:40:00 GMT-0400 (EDT)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Thu Oct 02 2014 17:00:00 GMT-0400 (EDT)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Thu Oct 02 2014 17:20:00 GMT-0400 (EDT)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Thu Oct 02 2014 17:40:00 GMT-0400 (EDT)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Thu Oct 02 2014 18:00:00 GMT-0400 (EDT)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Thu Oct 02 2014 18:20:00 GMT-0400 (EDT)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Thu Oct 02 2014 18:40:00 GMT-0400 (EDT)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Thu Oct 02 2014 19:00:00 GMT-0400 (EDT)"
