"year","month","day","sunrise","sunset"
2015,2,1,Sun Mar 01 2015 06:16:25 GMT-0500 (EST),Sun Mar 01 2015 17:32:39 GMT-0500 (EST),
2015,2,2,Mon Mar 02 2015 06:14:49 GMT-0500 (EST),Mon Mar 02 2015 17:33:50 GMT-0500 (EST),
2015,2,3,Tue Mar 03 2015 06:13:13 GMT-0500 (EST),Tue Mar 03 2015 17:35:02 GMT-0500 (EST),
2015,2,4,Wed Mar 04 2015 06:11:36 GMT-0500 (EST),Wed Mar 04 2015 17:36:13 GMT-0500 (EST),
2015,2,5,Thu Mar 05 2015 06:09:58 GMT-0500 (EST),Thu Mar 05 2015 17:37:23 GMT-0500 (EST),
2015,2,6,Fri Mar 06 2015 06:08:20 GMT-0500 (EST),Fri Mar 06 2015 17:38:34 GMT-0500 (EST),
2015,2,7,Sat Mar 07 2015 06:06:41 GMT-0500 (EST),Sat Mar 07 2015 17:39:44 GMT-0500 (EST),
2015,2,8,Sun Mar 08 2015 07:05:01 GMT-0400 (EDT),Sun Mar 08 2015 18:40:54 GMT-0400 (EDT),
2015,2,9,Mon Mar 09 2015 07:03:22 GMT-0400 (EDT),Mon Mar 09 2015 18:42:03 GMT-0400 (EDT),
2015,2,10,Tue Mar 10 2015 07:01:41 GMT-0400 (EDT),Tue Mar 10 2015 18:43:13 GMT-0400 (EDT),
2015,2,11,Wed Mar 11 2015 07:00:01 GMT-0400 (EDT),Wed Mar 11 2015 18:44:22 GMT-0400 (EDT),
2015,2,12,Thu Mar 12 2015 06:58:20 GMT-0400 (EDT),Thu Mar 12 2015 18:45:31 GMT-0400 (EDT),
2015,2,13,Fri Mar 13 2015 06:56:38 GMT-0400 (EDT),Fri Mar 13 2015 18:46:39 GMT-0400 (EDT),
2015,2,14,Sat Mar 14 2015 06:54:57 GMT-0400 (EDT),Sat Mar 14 2015 18:47:48 GMT-0400 (EDT),
2015,2,15,Sun Mar 15 2015 06:53:15 GMT-0400 (EDT),Sun Mar 15 2015 18:48:56 GMT-0400 (EDT),
2015,2,16,Mon Mar 16 2015 06:51:33 GMT-0400 (EDT),Mon Mar 16 2015 18:50:04 GMT-0400 (EDT),
2015,2,17,Tue Mar 17 2015 06:49:50 GMT-0400 (EDT),Tue Mar 17 2015 18:51:12 GMT-0400 (EDT),
2015,2,18,Wed Mar 18 2015 06:48:08 GMT-0400 (EDT),Wed Mar 18 2015 18:52:20 GMT-0400 (EDT),
2015,2,19,Thu Mar 19 2015 06:46:25 GMT-0400 (EDT),Thu Mar 19 2015 18:53:27 GMT-0400 (EDT),
2015,2,20,Fri Mar 20 2015 06:44:42 GMT-0400 (EDT),Fri Mar 20 2015 18:54:35 GMT-0400 (EDT),
2015,2,21,Sat Mar 21 2015 06:42:59 GMT-0400 (EDT),Sat Mar 21 2015 18:55:42 GMT-0400 (EDT),
2015,2,22,Sun Mar 22 2015 06:41:16 GMT-0400 (EDT),Sun Mar 22 2015 18:56:49 GMT-0400 (EDT),
2015,2,23,Mon Mar 23 2015 06:39:33 GMT-0400 (EDT),Mon Mar 23 2015 18:57:56 GMT-0400 (EDT),
2015,2,24,Tue Mar 24 2015 06:37:50 GMT-0400 (EDT),Tue Mar 24 2015 18:59:03 GMT-0400 (EDT),
2015,2,25,Wed Mar 25 2015 06:36:07 GMT-0400 (EDT),Wed Mar 25 2015 19:00:09 GMT-0400 (EDT),
2015,2,26,Thu Mar 26 2015 06:34:24 GMT-0400 (EDT),Thu Mar 26 2015 19:01:16 GMT-0400 (EDT),
2015,2,27,Fri Mar 27 2015 06:32:41 GMT-0400 (EDT),Fri Mar 27 2015 19:02:23 GMT-0400 (EDT),
2015,2,28,Sat Mar 28 2015 06:30:59 GMT-0400 (EDT),Sat Mar 28 2015 19:03:29 GMT-0400 (EDT),
2015,2,29,Sun Mar 29 2015 06:29:16 GMT-0400 (EDT),Sun Mar 29 2015 19:04:36 GMT-0400 (EDT),
2015,2,30,Mon Mar 30 2015 06:27:34 GMT-0400 (EDT),Mon Mar 30 2015 19:05:42 GMT-0400 (EDT),
2015,2,31,Tue Mar 31 2015 06:25:52 GMT-0400 (EDT),Tue Mar 31 2015 19:06:48 GMT-0400 (EDT),
