"conds","fog","hail","rain","snow","thunder","tornado","temp","vis","date","year","month","day","hour","minute","second","tzname"
Mostly Cloudy,0,0,0,0,0,0,10.6,16.1,2014/12/01 00:52:00,2014,12,01,00,52,00,America/New_York
Overcast,0,0,0,0,0,0,10.6,16.1,2014/12/01 01:52:00,2014,12,01,01,52,00,America/New_York
Overcast,0,0,0,0,0,0,11.7,16.1,2014/12/01 02:52:00,2014,12,01,02,52,00,America/New_York
Overcast,0,0,0,0,0,0,11.7,16.1,2014/12/01 03:52:00,2014,12,01,03,52,00,America/New_York
Overcast,0,0,0,0,0,0,12.2,16.1,2014/12/01 04:52:00,2014,12,01,04,52,00,America/New_York
Overcast,0,0,0,0,0,0,12.2,16.1,2014/12/01 05:52:00,2014,12,01,05,52,00,America/New_York
Overcast,0,0,0,0,0,0,12.2,16.1,2014/12/01 06:52:00,2014,12,01,06,52,00,America/New_York
Overcast,0,0,0,0,0,0,12.2,16.1,2014/12/01 07:52:00,2014,12,01,07,52,00,America/New_York
Clear,0,0,0,0,0,0,13.3,16.1,2014/12/01 08:52:00,2014,12,01,08,52,00,America/New_York
Clear,0,0,0,0,0,0,15.6,16.1,2014/12/01 09:52:00,2014,12,01,09,52,00,America/New_York
Clear,0,0,0,0,0,0,16.7,16.1,2014/12/01 10:52:00,2014,12,01,10,52,00,America/New_York
Clear,0,0,0,0,0,0,18.9,16.1,2014/12/01 11:52:00,2014,12,01,11,52,00,America/New_York
Clear,0,0,0,0,0,0,17.2,16.1,2014/12/01 12:52:00,2014,12,01,12,52,00,America/New_York
Partly Cloudy,0,0,0,0,0,0,18.3,16.1,2014/12/01 13:52:00,2014,12,01,13,52,00,America/New_York
Mostly Cloudy,0,0,0,0,0,0,17.8,16.1,2014/12/01 14:52:00,2014,12,01,14,52,00,America/New_York
Overcast,0,0,0,0,0,0,16.1,16.1,2014/12/01 15:52:00,2014,12,01,15,52,00,America/New_York
Overcast,0,0,0,0,0,0,13.9,16.1,2014/12/01 16:52:00,2014,12,01,16,52,00,America/New_York
Overcast,0,0,0,0,0,0,11.7,16.1,2014/12/01 17:52:00,2014,12,01,17,52,00,America/New_York
Clear,0,0,0,0,0,0,10.0,16.1,2014/12/01 18:52:00,2014,12,01,18,52,00,America/New_York
Mostly Cloudy,0,0,0,0,0,0,9.4,16.1,2014/12/01 19:52:00,2014,12,01,19,52,00,America/New_York
Light Rain,0,0,1,0,0,0,8.3,16.1,2014/12/01 20:52:00,2014,12,01,20,52,00,America/New_York
Overcast,0,0,0,0,0,0,7.8,16.1,2014/12/01 21:52:00,2014,12,01,21,52,00,America/New_York
Overcast,0,0,0,0,0,0,6.7,16.1,2014/12/01 22:52:00,2014,12,01,22,52,00,America/New_York
Mostly Cloudy,0,0,0,0,0,0,5.0,16.1,2014/12/01 23:52:00,2014,12,01,23,52,00,America/New_York
Clear,0,0,0,0,0,0,4.4,16.1,2014/12/02 00:52:00,2014,12,02,00,52,00,America/New_York
Clear,0,0,0,0,0,0,3.9,16.1,2014/12/02 01:52:00,2014,12,02,01,52,00,America/New_York
Scattered Clouds,0,0,0,0,0,0,3.3,16.1,2014/12/02 02:52:00,2014,12,02,02,52,00,America/New_York
Clear,0,0,0,0,0,0,2.8,16.1,2014/12/02 03:52:00,2014,12,02,03,52,00,America/New_York
