"did","charge","charging","overdischarge_voltage","battery_full_voltage","battery_overload","overload","load_on","pv_voltage","battery_full","over_discharge","battery_temperature","charge_current","load_current","battery_voltage","load_short","date"
tidbase4,"-9.41931209237989","0","10.800015625000004","14.968765625","0","0","1","0.159921875","0","0","-6.728125","0","1.0584218749999998","12.560765624999998","0","Sun Mar 01 2015 00:00:00 GMT-0500 (EST)"
tidbase4,"-9.740178394019065","0","10.800000000000004","14.972861842105264","0","0","1","0.1592105263157895","0","0","-7","0","1.0607072368421053","12.545427631578951","0","Sun Mar 01 2015 00:20:00 GMT-0500 (EST)"
tidbase4,"-10.054374743663898","0","10.800000000000004","14.973338815789472","0","0","1","0.15937500000000002","0","0","-7","0","1.062516447368421","12.530624999999999","0","Sun Mar 01 2015 00:40:00 GMT-0500 (EST)"
tidbase4,"-10.369657019536984","0","10.800000000000004","14.973486842105261","0","0","1","0.15879934210526314","0","0","-7","0","1.0694078947368424","12.520756578947369","0","Sun Mar 01 2015 01:00:00 GMT-0500 (EST)"
tidbase4,"-10.685195656814479","0","10.800000000000004","14.973256578947368","0","0","1","0.1605263157894737","0","0","-7","0","1.0649835526315787","12.509473684210528","0","Sun Mar 01 2015 01:20:00 GMT-0500 (EST)"
tidbase4,"-10.997204491703537","0","10.800000000000004","14.972565789473684","0","0","1","0.1602796052631579","0","0","-7","0","1.0574342105263157","12.49907894736842","0","Sun Mar 01 2015 01:40:00 GMT-0500 (EST)"
tidbase4,"-11.310710891782174","0","10.800000000000004","14.972845394736842","0","0","1","0.1578125","0","0","-7","0","1.0645230263157894","12.489934210526318","0","Sun Mar 01 2015 02:00:00 GMT-0500 (EST)"
tidbase4,"-11.634237868810319","0","10.800000000000004","14.973156249999999","0","0","1","0.15921875000000005","0","0","-7","0","1.0646875","12.48296875","0","Sun Mar 01 2015 02:20:00 GMT-0500 (EST)"
tidbase4,"-11.95670202471328","0","10.800000000000004","14.976842105263158","0","0","1","0.15855263157894736","0","0","-7.182565789473684","0","1.0696710526315791","12.478667763157892","0","Sun Mar 01 2015 02:40:00 GMT-0500 (EST)"
tidbase4,"-12.280318748892002","0","10.800000000000004","14.991671875","0","0","1","0.15984375","0","0","-8","0","1.06621875","12.475703125","0","Sun Mar 01 2015 03:00:00 GMT-0500 (EST)"
tidbase4,"-12.594968831230082","0","10.800000000000004","14.99138888888889","0","0","1","0.1618923611111111","0","0","-8","0","1.064253472222222","12.469531249999998","0","Sun Mar 01 2015 03:20:00 GMT-0500 (EST)"
