"year","month","day","sunrise","sunset"
2014,9,1,Wed Oct 01 2014 06:39:53 GMT-0400 (EDT),Wed Oct 01 2014 18:23:36 GMT-0400 (EDT),
2014,9,2,Thu Oct 02 2014 06:40:57 GMT-0400 (EDT),Thu Oct 02 2014 18:21:53 GMT-0400 (EDT),
2014,9,3,Fri Oct 03 2014 06:42:02 GMT-0400 (EDT),Fri Oct 03 2014 18:20:11 GMT-0400 (EDT),
2014,9,4,Sat Oct 04 2014 06:43:07 GMT-0400 (EDT),Sat Oct 04 2014 18:18:29 GMT-0400 (EDT),
2014,9,5,Sun Oct 05 2014 06:44:13 GMT-0400 (EDT),Sun Oct 05 2014 18:16:48 GMT-0400 (EDT),
2014,9,6,Mon Oct 06 2014 06:45:18 GMT-0400 (EDT),Mon Oct 06 2014 18:15:07 GMT-0400 (EDT),
2014,9,7,Tue Oct 07 2014 06:46:24 GMT-0400 (EDT),Tue Oct 07 2014 18:13:27 GMT-0400 (EDT),
2014,9,8,Wed Oct 08 2014 06:47:30 GMT-0400 (EDT),Wed Oct 08 2014 18:11:47 GMT-0400 (EDT),
2014,9,9,Thu Oct 09 2014 06:48:37 GMT-0400 (EDT),Thu Oct 09 2014 18:10:08 GMT-0400 (EDT),
2014,9,10,Fri Oct 10 2014 06:49:44 GMT-0400 (EDT),Fri Oct 10 2014 18:08:30 GMT-0400 (EDT),
2014,9,11,Sat Oct 11 2014 06:50:51 GMT-0400 (EDT),Sat Oct 11 2014 18:06:52 GMT-0400 (EDT),
2014,9,12,Sun Oct 12 2014 06:51:58 GMT-0400 (EDT),Sun Oct 12 2014 18:05:15 GMT-0400 (EDT),
2014,9,13,Mon Oct 13 2014 06:53:06 GMT-0400 (EDT),Mon Oct 13 2014 18:03:39 GMT-0400 (EDT),
2014,9,14,Tue Oct 14 2014 06:54:14 GMT-0400 (EDT),Tue Oct 14 2014 18:02:03 GMT-0400 (EDT),
2014,9,15,Wed Oct 15 2014 06:55:22 GMT-0400 (EDT),Wed Oct 15 2014 18:00:28 GMT-0400 (EDT),
2014,9,16,Thu Oct 16 2014 06:56:31 GMT-0400 (EDT),Thu Oct 16 2014 17:58:54 GMT-0400 (EDT),
2014,9,17,Fri Oct 17 2014 06:57:40 GMT-0400 (EDT),Fri Oct 17 2014 17:57:21 GMT-0400 (EDT),
2014,9,18,Sat Oct 18 2014 06:58:50 GMT-0400 (EDT),Sat Oct 18 2014 17:55:49 GMT-0400 (EDT),
2014,9,19,Sun Oct 19 2014 06:59:59 GMT-0400 (EDT),Sun Oct 19 2014 17:54:18 GMT-0400 (EDT),
2014,9,20,Mon Oct 20 2014 07:01:09 GMT-0400 (EDT),Mon Oct 20 2014 17:52:47 GMT-0400 (EDT),
2014,9,21,Tue Oct 21 2014 07:02:20 GMT-0400 (EDT),Tue Oct 21 2014 17:51:18 GMT-0400 (EDT),
2014,9,22,Wed Oct 22 2014 07:03:30 GMT-0400 (EDT),Wed Oct 22 2014 17:49:50 GMT-0400 (EDT),
2014,9,23,Thu Oct 23 2014 07:04:41 GMT-0400 (EDT),Thu Oct 23 2014 17:48:22 GMT-0400 (EDT),
2014,9,24,Fri Oct 24 2014 07:05:52 GMT-0400 (EDT),Fri Oct 24 2014 17:46:56 GMT-0400 (EDT),
2014,9,25,Sat Oct 25 2014 07:07:04 GMT-0400 (EDT),Sat Oct 25 2014 17:45:31 GMT-0400 (EDT),
2014,9,26,Sun Oct 26 2014 07:08:15 GMT-0400 (EDT),Sun Oct 26 2014 17:44:08 GMT-0400 (EDT),
2014,9,27,Mon Oct 27 2014 07:09:28 GMT-0400 (EDT),Mon Oct 27 2014 17:42:45 GMT-0400 (EDT),
2014,9,28,Tue Oct 28 2014 07:10:40 GMT-0400 (EDT),Tue Oct 28 2014 17:41:24 GMT-0400 (EDT),
2014,9,29,Wed Oct 29 2014 07:11:52 GMT-0400 (EDT),Wed Oct 29 2014 17:40:04 GMT-0400 (EDT),
2014,9,30,Thu Oct 30 2014 07:13:05 GMT-0400 (EDT),Thu Oct 30 2014 17:38:45 GMT-0400 (EDT),
2014,9,31,Fri Oct 31 2014 07:14:18 GMT-0400 (EDT),Fri Oct 31 2014 17:37:28 GMT-0400 (EDT),
