"did", "sht_temperature", "bmp_temperature", "illuminance", "bmp_pressure", "sht_humidity", "battery_voltage", "charge_flags_charge", "charge_flags_fault", "solar_voltage", "wind_direction", "wind_speed", "date"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Thu Feb 20 2014 00:00:00 GMT-0500 (EST)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Fri Feb 21 2014 00:00:00 GMT-0500 (EST)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Sat Feb 22 2014 00:00:00 GMT-0500 (EST)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Sun Feb 23 2014 00:00:00 GMT-0500 (EST)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Mon Feb 24 2014 00:00:00 GMT-0500 (EST)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Tue Feb 25 2014 00:00:00 GMT-0500 (EST)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Wed Feb 26 2014 00:00:00 GMT-0500 (EST)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Thu Feb 27 2014 00:00:00 GMT-0500 (EST)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Fri Feb 28 2014 00:00:00 GMT-0500 (EST)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Sat Mar 01 2014 00:00:00 GMT-0500 (EST)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Sun Mar 02 2014 00:00:00 GMT-0500 (EST)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Mon Mar 03 2014 00:00:00 GMT-0500 (EST)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Tue Mar 04 2014 00:00:00 GMT-0500 (EST)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Wed Mar 05 2014 00:00:00 GMT-0500 (EST)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Thu Mar 06 2014 00:00:00 GMT-0500 (EST)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Fri Mar 07 2014 00:00:00 GMT-0500 (EST)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Sat Mar 08 2014 00:00:00 GMT-0500 (EST)"
